Date,Tithe,Income,Expenses
2023-01-01,2317,23147,38264
2023-02-01,2189,21986,37195
2023-03-01,2438,24251,39482
2023-04-01,2816,27834,46537
2023-05-01,2527,25319,40519
2023-06-01,2361,23762,42186
2023-07-01,2494,24895,49375
2023-08-01,2298,22973,39742
2023-09-01,2637,26148,43258
2023-10-01,2764,27536,44519
2023-11-01,13847,142389,57621
2023-12-01,15493,160540,67985
2024-01-01,2389,23689,39128
2024-02-01,2251,22453,38047
2024-03-01,2493,24786,40196
2024-04-01,2867,28497,47583
2024-05-01,2598,25882,41427
2024-06-01,2427,24196,42965
2024-07-01,2554,25371,50284
2024-08-01,2368,23548,40618
2024-09-01,2691,26729,43971
2024-10-01,2826,28154,45283
2024-11-01,14296,145672,58194
2024-12-01,15937,163923,68387
2025-01-01,2417,24183,40217
2025-02-01,2319,22947,39184
2025-03-01,2526,25136,41463
2025-04-01,2941,28973,48627
2025-05-01,2617,26351,42391
2025-06-01,2473,24789,43816
2025-07-01,2591,25844,51479
2025-08-01,2487,24612,41735
2025-09-01,2736,27195,44928
2025-10-01,2869,28643,46217
2025-11-01,14783,148739,58317
2025-12-01,16621,167417,68308
2026-01-01,2491,24916,41082
2026-02-01,2387,23684,39797
2026-03-01,2614,25897,42311
2026-04-01,3017,29754,49583
2026-05-01,2749,27189,43364
2026-06-01,2583,25532,44678
